 ;;;;; ;;;;;;;
Tabel Positifvity rate Hasil Lab Covid19 - DKI Jakarta;;;;;;;;;;;;
;;;;;;;;;;;;
Tanggal;Tahun;Jumlah orang di tes;Orang Positif Harian;Orang negatif harian;Positif rate kasus baru harian;Total spesimen di tes;Positif;Negatif;Positif rate (specimen harian);;;
28/04/;2021;9.559;987;8.572;10,30%;12.120;1.863;10.257;15,40%;;;
;; ;;;;;;;;;;
27/04/;2021;10.830;639;10.191;5,90%;14.992;2.325;12.667;15,50%;;;
;;;;;;;;;;;;
26/04/;2021;7.856;393;7.463;5,00%;14.746;2.253;12.493;15,30%;;;
;; ;;;;;;;;;;
25/04/;2021;6.846;749;6.097;10,90%;8.558;1.480;7.078;17,30%;;;
;;;;;;;;;;;;
24/04/;2021;7.851;896;6.955;11,40%;13.980;2.245;11.735;16,10%;;;
;; ;;;;;;;;;;
23/04/;2021;9.747;907;8.840;9,30%;14.348;2.382;11.966;16,60%;;;
;;;;;;;;;;;;
22/04/;2021;8.671;884;7.787;10,20%;13.863;2.054;11.809;14,80%;;;
;; ;;;;;;;;;;
21/04/;2021;10.519;1.266;9.253;12,00%;13.051;1.796;11.255;13,80%;;;
;;;;;;;;;;;;
20/04/;2021;11.434;602;10.832;5,30%;14.525;2.487;12.038;17,10%;;;
;; ;;;;;;;;;;
19/04/;2021;8.601;460;8.141;5,30%;13.690;2.083;11.607;15,20%;;;
;;;;;;;;;;;;
18/04/;2021;8.565;973;7.592;11,40%;11.099;1.551;9.548;14,00%;;;
;; ;;;;;;;;;;
17/04/;2021;6.749;950;5.799;14,10%;11.844;1.964;9.880;16,60%;;;
;;;;;;;;;;;;
16/04/;2021;10.823;1.037;9.786;9,60%;14.451;2.115;12.336;14,60%;;;
;; ;;;;;;;;;;
15/04/;2021;11.191;979;10.212;8,70%;16.409;2.576;13.833;15,70%;;;
;;;;;;;;;;;;
14/04/;2021;10.673;1.330;9.343;12,50%;16.048;2.723;13.325;17,00%;;;
;; ;;;;;;;;;;
13/04/;2021;12.934;661;12.273;5,10%;20.115;3.460;16.655;17,20%;;;
;;;;;;;;;;;;
12/04/;2021;7.576;828;6.748;10,90%;14.487;2.357;12.130;16,30%;;;
;; ;;;;;;;;;;
11/04/;2021;7.265;692;6.573;9,50%;9.082;1.213;7.869;13,40%;;;
;;;;;;;;;;;;
10/04/;2021;8.868;1.031;7.837;11,60%;14.245;1.818;12.427;12,80%;;;
;; ;;;;;;;;;;
09/04/;2021;10.442;977;9.465;9,40%;16.208;2.356;13.852;14,50%;;;
;;;;;;;;;;;;
08/04/;2021;10.548;1.013;9.535;9,60%;16.708;2.363;14.345;14,10%;;;
;; ;;;;;;;;;;
07/04/;2021;9.603;1.239;8.364;12,90%;13.296;2.307;10.989;17,40%;;;
;;;;;;;;;;;;
06/04/;2021;12.096;862;11.234;7,10%;15.918;2.688;13.230;16,90%;;;
;; ;;;;;;;;;;
05/04/;2021;12.620;487;12.133;3,90%;15.776;2.821;12.955;17,90%;;;
;;;;;;;;;;;;
04/04/;2021;7.333;523;6.810;7,10%;9.778;1.785;7.993;18,30%;;;
;; ;;;;;;;;;;
03/04/;2021;7.694;736;6.958;9,60%;10.124;1.744;8.380;17,20%;;;
;;;;;;;;;;;;
02/04/;2021;7.516;1.098;6.418;14,60%;9.396;1.478;7.918;15,70%;;;
;; ;;;;;;;;;;
01/04/;2021;11.141;1.240;9.901;11,10%;13.927;2.485;11.442;17,80%;;;
;;;;;;;;;;;;
31/03/;2021;12.124;1.337;10.787;11,00%;15.156;2.822;12.334;18,60%;;;
;; ;;;;;;;;;;
30/03/;2021;13.420;965;12.455;7,20%;16.366;3.120;13.246;19,10%;;;
;;;;;;;;;;;;
29/03/;2021;11.412;384;11.028;3,40%;14.632;2.722;11.910;18,60%;;;
;; ;;;;;;;;;;
28/03/;2021;7.497;1.014;6.483;13,50%;9.372;1.373;7.999;14,70%;;;
;;;;;;;;;;;;
27/03/;2021;12.292;1.470;10.822;12,00%;15.365;2.520;12.845;16,40%;;;
;; ;;;;;;;;;;
26/03/;2021;13.086;1.354;11.732;10,30%;16.714;3.259;13.455;19,50%;;;
;;;;;;;;;;;;
25/03/;2021;13.080;1.381;11.699;10,60%;16.350;3.064;13.286;18,70%;;;
;; ;;;;;;;;;;
24/03/;2021;12.742;1.726;11.016;13,50%;15.928;3.326;12.602;20,90%;;;
;;;;;;;;;;;;
23/03/;2021;16.096;890;15.206;5,50%;20.120;4.133;15.987;20,50%;;;
;; ;;;;;;;;;;
22/03/;2021;10.242;815;9.427;8,00%;13.132;2.977;10.155;22,70%;;;
;;;;;;;;;;;;
21/03/;2021;8.728;1.474;7.254;16,90%;10.911;2.093;8.818;19,20%;;;
;; ;;;;;;;;;;
20/03/;2021;10.562;1.638;8.924;15,50%;13.240;3.137;10.103;23,70%;;;
;;;;;;;;;;;;
19/03/;2021;13.204;1.937;11.267;14,70%;16.506;3.572;12.934;21,60%;;;
;; ;;;;;;;;;;
18/03/;2021;11.497;1.588;9.909;13,80%;14.372;3.103;11.269;21,60%;;;
;;;;;;;;;;;;
17/03/;2021;15.107;1.719;13.388;11,40%;18.884;4.075;14.809;21,60%;;;
;; ;;;;;;;;;;
16/03/;2021;13.736;1.330;12.406;9,70%;19.623;6.834;12.789;34,80%;;;
;;;;;;;;;;;;
15/03/;2021;15.239;835;14.404;5,50%;19.049;3.952;15.097;20,70%;;;
;; ;;;;;;;;;;
14/03/;2021;9.342;1.555;7.787;16,60%;10.739;1.956;8.783;18,20%;;;
;;;;;;;;;;;;
13/03/;2021;11.932;1.204;10.728;10,10%;15.700;4.613;11.087;29,40%;;;
;; ;;;;;;;;;;
12/03/;2021;11.376;1.034;10.342;9,10%;14.220;3.237;10.983;22,80%;;;
;;;;;;;;;;;;
11/03/;2021;12.062;1.873;10.189;15,50%;13.865;2.586;11.279;18,70%;;;
;; ;;;;;;;;;;
10/03/;2021;14.611;1.754;12.857;12,00%;18.264;4.302;13.962;23,60%;;;
;;;;;;;;;;;;
09/03/;2021;13.813;1.040;12.773;7,50%;17.709;4.373;13.336;24,70%;;;
;; ;;;;;;;;;;
08/03/;2021;12.172;867;11.305;7,10%;15.215;3.357;11.858;22,10%;;;
;;;;;;;;;;;;
07/03/;2021;11.041;1.783;9.258;16,10%;5.460;1.356;4.104;24,80%;;;
;; ;;;;;;;;;;
06/03/;2021;8.261;1.834;6.427;22,20%;10.327;3.116;7.211;30,20%;;;
;;;;;;;;;;;;
05/03/;2021;8.787;1.616;7.171;18,40%;11.875;3.639;8.236;30,60%;;;
;; ;;;;;;;;;;
04/03/;2021;12.608;1.159;11.449;9,20%;15.761;3.477;12.284;22,10%;;;
;;;;;;;;;;;;
03/03/;2021;14.072;2.008;12.064;14,30%;17.590;3.883;13.707;22,10%;;;
;; ;;;;;;;;;;
02/03/;2021;20.538;1.437;19.101;7,00%;25.673;6.521;19.152;25,40%;;;
;;;;;;;;;;;;
01/03/;2021;10.394;578;9.816;5,60%;13.533;2.884;10.649;21,30%;;;
;; ;;;;;;;;;;
